Ni,Co,Mn,sec_size,prim_size,sin_temp,sin_t,cut_off,m_temp,c_rate,total,Dis_cap
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,0.1,1,171.9
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,0.1,1,187.1
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,0.2,1,158.7
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,0.2,1,176.1
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,0.5,1,142.3
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,0.5,1,167.9
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,1,1,129.7
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,1,1,157.6
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,2,1,118.9
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,2,1,144.2
0.6,0.2,0.2,0.4,0.3951995,800,15,4.3,25,5,1,98.8
0.6,0.2,0.2,0.235,0.227186,800,15,4.3,25,5,1,119.5
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,0.1,1,220.5
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,0.1,1,229.7
1,0,0,10,0.3340895,650,10,4.3,30,0.1,1,242.4
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,0.2,1,219.8
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,0.2,1,227.3
1,0,0,10,0.3340895,650,10,4.3,30,0.2,1,234.5
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,0.5,1,210.4
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,0.5,1,216.2
1,0,0,10,0.3340895,650,10,4.3,30,0.5,1,219.8
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,1,1,203.1
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,1,1,207.4
1,0,0,10,0.3340895,650,10,4.3,30,1,1,209.6
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,2,1,196.7
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,2,1,200.5
1,0,0,10,0.3340895,650,10,4.3,30,2,1,202.5
0.9,0.05,0.05,10,0.4973885,750,10,4.3,30,5,1,189.1
0.95,0.025,0.025,10,0.4520385,700,10,4.3,30,5,1,191.8
1,0,0,10,0.3340895,650,10,4.3,30,5,1,194.9
0.9,0.05,0.05,10,0.4973885,750,10,4.3,55,0.5,1,249.38
0.95,0.025,0.025,10,0.4520385,700,10,4.3,55,0.5,1,238.9
1,0,0,10,0.3340895,650,10,4.3,55,0.5,1,227.2
0.8,0.1,0.1,13,0.2186,750,5,4.3,25,1,1,200
0.8,0.1,0.1,13,0.2186,750,5,4.3,60,1,1,207.1
0.6,0.2,0.2,10,0.691094,850,10,4.3,25,0.5,1,192.9
0.95,0.025,0.025,10,0.404189,700,10,4.3,25,0.5,1,235
0.8,0.1,0.1,10,0.4892625,770,10,4.3,25,0.5,1,205.7
0.9,0.05,0.05,10,0.53947,750,10,4.3,25,0.5,1,227.2
1,0,0,9,0.4349,750,12,4.3,25,0.1,1,247
0.6,0.2,0.2,3,0.3240165,850,15,4.3,25,0.1,1,171
0.6,0.2,0.2,3,0.3240165,800,12,4.3,25,0.2,1,115
0.6,0.2,0.2,3,0.3240165,800,12,4.3,25,0.5,1,112
0.95,0.025,0.025,10,0.3801285,700,10,4.3,30,0.1,1,238
1,0,0,10,0.2707215,650,10,4.3,30,0.1,1,248
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,0.1,1,197.7
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,0.2,1,195.5
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,0.33,1,186.7
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,1,1,173.3
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,3,1,159.5
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,5,1,140.6
0.7,0.15,0.15,13.3,1.0043505,500,3,4.5,25,10,1,102.7
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,0.1,1,189.8
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,0.1,1,187.9
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,55,0.1,1,194.3
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,30,0.1,1,202.5
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,0.2,1,187.8
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,0.2,1,190.4
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,25,0.2,1,190.6
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,30,0.2,1,198
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,0.5,1,178.7
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,0.5,1,178.4
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,25,0.5,1,185.6
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,25,0.5,1,189.5
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,1,1,172.1
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,1,1,170.5
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,25,1,1,178.9
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,25,1,1,182.3
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,3,1,164.3
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,3,1,161.6
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,25,3,1,169.9
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,25,3,1,172.9
0.678,0.13,0.192,8.87,0.308934,800,12,4.4,25,5,1,138.1
0.674,0.132,0.194,7.15,0.401582,800,12,4.4,25,5,1,139.1
0.677,0.132,0.191,8.92,0.3720275,800,12,4.4,25,5,1,147.1
0.68,0.129,0.191,9.42,0.3289375,800,12,4.4,25,5,1,152.3
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,0.2,1,180
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,0.5,1,173.5
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,1,1,167.1
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,2,1,158.2
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,5,1,148.6
0.5,0.2,0.3,2.5,0.0835725,850,12,4.3,25,10,1,128.1
0.9,0.05,0.05,10,0.211678,770,10,4.3,30,0.1,1,227
0.8,0.1,0.1,10,0.2219975,750,10,4.3,30,0.1,1,215
0.85,0,0.15,11,0.424892,750,15,4.3,30,0.1,1,205.1
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,30,0.1,1,205.5
0.85,0.1,0.05,11,0.281062,750,15,4.3,30,0.1,1,204.9
0.85,0.15,0,11.1,0.484459,750,15,4.3,30,0.1,1,206
0.85,0,0.15,11,0.424892,750,15,4.3,25,0.2,1,200.4
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,25,0.2,1,200.3
0.85,0.1,0.05,11,0.281062,750,15,4.3,25,0.2,1,199.9
0.85,0.15,0,11.1,0.484459,750,15,4.3,25,0.2,1,200.3
0.85,0,0.15,11,0.424892,750,15,4.3,25,0.5,1,186.1
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,25,0.5,1,191.2
0.85,0.1,0.05,11,0.281062,750,15,4.3,25,0.5,1,192
0.85,0.15,0,11.1,0.484459,750,15,4.3,25,0.5,1,193.8
0.85,0,0.15,11,0.424892,750,15,4.3,25,1,1,175.8
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,25,1,1,184.1
0.85,0.1,0.05,11,0.281062,750,15,4.3,25,1,1,187.2
0.85,0.15,0,11.1,0.484459,750,15,4.3,25,1,1,189.4
0.85,0,0.15,11,0.424892,750,15,4.3,25,2,1,161.4
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,25,2,1,174.9
0.85,0.1,0.05,11,0.281062,750,15,4.3,25,2,1,176.8
0.85,0.15,0,11.1,0.484459,750,15,4.3,25,2,1,181
0.85,0,0.15,11,0.424892,750,15,4.3,25,5,1,140.2
0.85,0.05,0.1,11.1,0.353361,750,15,4.3,25,5,1,163.3
0.85,0.1,0.05,11,0.281062,750,15,4.3,25,5,1,164.8
0.85,0.15,0,11.1,0.484459,750,15,4.3,25,5,1,171.1
0.8,0.1,0.1,15,0.5803565,750,15,4.3,45,0.5,1,193
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,30,0.1,1,199
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,23,0.5,1,186
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,23,1,1,178
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,23,2,1,167.5
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,23,5,1,145
0.6,0.2,0.2,10.68,0.7725645,850,10,4.5,23,10,1,104.9
0.6,0.2,0.2,9,0.334073,850,12,4.3,25,0.1,1,188
0.9,0.05,0.05,9,0.4349,750,12,4.3,25,0.1,1,227
0.8,0.1,0.1,10,0.6446865,750,18,4.3,30,0.2,1,180
0.5,0.2,0.3,10,0.6783275,700,5,4.5,25,0.4,1,181
0.95,0.025,0.025,8.5,0.220135,100,10,4.3,30,0.1,1,245
0.55,0.15,0.3,9,0.7965,850,15,4.3,55,0.2,1,166
0.33,0.33,0.34,1,1,900,12,4.3,25,0.1,1,152
0.4,0.2,0.4,1,1,900,3,4.3,25,0.05,1,160
0.6,0.2,0.2,10,0.6079135,850,5,4.5,25,0.2,1,187.2
0.6,0.2,0.2,14.9,1.281131,700,2,4.3,35,0.07,1,175
0.5,0.2,0.3,10,0.6181905,850,12,4.6,25,0.1,1,199.7
0.6,0.2,0.2,9,0.6233925,500,2,4.7,25,0.1,1,184.8
0.8,0.1,0.1,8.5,0.384429,800,20,4.4,55,0.1,1,198
0.6,0.2,0.2,10,0.6079135,850,5,4.5,25,0.2,1,188.3
0.8,0.1,0.1,17,0.2384955,780,15,4.3,25,10,1,116
0.5,0.2,0.3,10.25,0.5782955,850,12,4.6,25,1,1,182.8
0.6,0.2,0.2,4.3,0.258804,750,12,4.6,25,0.2,1,190.5
0.6,0.2,0.2,11.7,0.6313655,860,12,4.45,25,0.1,1,205
1,0,0,10,0.3340895,650,10,4.3,30,0.1,1,233
1,0,0,10,0.2707215,650,12,4.3,30,0.1,1,246.6
1,0,0,9,1.23924,750,12,4.3,30,0.1,1,206
1,0,0,9,0.4349,750,12,4.3,25,0.1,1,205
0.9,0.1,0,3.3,0.479533,750,12,4.3,25,0.2,1,193.9
0.8,0.1,0.1,17.191,0.210606,750,15,4.5,25,0.2,1,178.7
0.6,0.2,0.2,14.9,1.281131,700,2,4.3,35,0.2,1,175
0.8,0.1,0.1,12.7,1.006284,850,10,4.3,35,0.2,1,198
0.7,0.15,0.15,13.048,0.6431775,820,12,4.5,25,0.1,1,220
0.8,0.1,0.1,16,0.5598175,750,15,4.3,25,0.1,1,205
0.8,0.1,0.1,10,0.2384955,750,20,4.3,25,0.2,1,201.1
0.8,0.1,0.1,8.5,0.384429,750,20,4.3,45,0.1,1,193
0.8,0.1,0.1,0.61,0.603797,750,15,4.3,25,0.1,1,195.7
0.5,0.2,0.3,0.76,0.8394725,900,24,4.5,55,0.2,1,197.9
0.6,0.2,0.2,10,0.4462545,820,12,4.5,25,0.2,1,188.3
0.6,0.2,0.2,12,0.581435,850,5,4.3,25,0.1,1,178.7
0.8,0.1,0.1,4,0.549516,800,12,4.5,25,0.1,1,203.1
0.8,0.1,0.1,16.48,0.256834,800,16,4.5,25,0.1,1,208
0.8,0.1,0.1,18.97,0.32356425,800,15,4.3,25,0.1,1,190
0.8,0.1,0.1,10,0.6446865,750,18,4.3,30,0.2,1,180
0.8,0.1,0.1,5.131,0.528486,800,20,4.5,25,0.1,1,199.9
0.6,0.2,0.2,0.235,0.309648,800,15,4.3,25,0.2,1,163.1
0.6,0.2,0.2,9,0.906348,850,15,4.3,23,0.2,1,174.3
0.6,0.2,0.2,6.8,0.454641,900,15,4.3,55,0.2,1,172.5
0.6,0.2,0.2,11.73,0.30262,750,20,4.2,25,0.1,1,165
0.65,0.08,0.27,5,0.6873665,830,10,4.3,30,0.2,1,192
0.8,0.15,0.05,16,0.5548095,800,16,4.5,25,0.1,1,218
0.8,0.1,0.1,10,0.2235315,780,15,4.3,25,0.1,1,202.2
0.7,0.2,0.1,17.5,0.3304565,800,15,4.3,25,0.1,1,186.8
0.7,0.1,0.2,0.235,0.195774,820,15,4.3,25,0.1,1,182
0.6,0.2,0.2,3,0.2986425,850,15,4.3,25,0.1,1,173.4
0.5,0.2,0.3,10,0.806822,950,15,4.3,25,0.1,1,175
0.6,0.2,0.2,10,0.800838,900,15,4.3,25,0.1,1,187
0.7,0.15,0.15,10,0.5644535,850,15,4.3,25,0.1,1,196
0.8,0.1,0.1,10,0.2384955,780,15,4.3,25,0.1,1,203
0.85,0.075,0.075,10,0.186613,750,15,4.3,25,0.1,1,206
0.7,0.2,0.1,10,1.0043505,500,2,4.5,25,0.1,1,217.2
0.65,0.25,0.1,10,0.17768,500,2,4.5,25,0.1,1,211.5
0.5,0.2,0.3,10,1.0043505,500,2,4.5,30,0.1,1,204.4
0.8,0.1,0.1,10,0.281062,450,12,4.5,25,1,1,186.74
0.4,0.5,0.1,13.3,0.143643,450,5,4.5,25,1,1,139.95
0.33,0.3,0.37,6.303,1.2080545,450,5,4.5,25,1,1,149.71
0.6,0.03,0.37,6.303,0.4973885,450,10,4.5,25,1,1,154.01
0.45,0.1,0.45,10,0.361873,450,10,4.5,25,1,1,135.78
0.45,0.1,0.45,1,0.7909755,850,10,4.5,25,0.1,1,185
0.6,0.2,0.2,10,0.6079135,850,10,4.5,25,0.1,1,190
0.7,0.2,0.1,12.7,0.6236145,850,10,4.5,25,0.1,1,202
0.5,0.2,0.3,20,0.915804,900,15,4.6,25,0.1,1,203.55
0.5,0.2,0.3,10,0.457006,850,20,4.6,27,0.5,1,163
0.497,0.201,0.302,7,0.538243,850,20,4.2,25,0.5,1,167
0.86,0.1,0.04,10,0.256834,750,20,4.3,25,0.2,1,210.5
0.7,0.1,0.2,10,0.281062,750,20,4.3,30,0.2,1,188.7
0.76,0.14,0.1,10,0.36831,750,20,4.5,30,0.33,1,220
0.42,0.42,0.16,17,0.221701,800,8,4.4,25,0.14,1,165
0.5,0.3,0.2,1,0.7296585,820,12,4.6,25,0.2,1,214
0.5,0,0.5,1,0.949438,850,5,4.9,30,0.1,1,172
0.4,0.1,0.5,1,0.8472765,850,5,4.9,30,0.1,1,210
0.3,0.2,0.5,1,0.8394725,850,5,4.9,23,0.1,1,190
0.2,0.3,0.5,1,0.7909755,850,5,4.9,23,0.1,1,184
0.83,0.07,0.1,12,0.442865,730,15,4.3,55,0.2,1,213
0.9,0.05,0.05,10,0.586,730,15,4.3,55,0.2,1,225
0.68,0.12,0.2,7.15,0.528227,870,15,4.5,25,0.1,1,196.6
0.5,0.2,0.3,10,0.361873,140,12,4.5,25,0.1,1,160
0.5,0.2,0.3,10,0.3725155,850,12,4.6,25,1,1,183.5
0.8,0.1,0.1,17.5,0.2797185,770,15,4.3,25,0.1,1,200
0.6,0.2,0.2,9,0.401582,800,15,4.3,25,0.1,1,177
0.5,0.25,0.25,9,0.906348,850,15,4.3,23,0.1,1,173
0.4,0.3,0.3,9,0.7965,900,15,4.3,25,0.1,1,165
